il kodu,il,Vergi-Turu,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
40,KIRŞEHİR,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,3135,3140,3119,3022,2954,2911,2837,2747,2693,2623,2601,2583,2567,3207,3318,3367,3400,3453,3576,3749,3976,4046,4097,3967
41,KOCAELİ,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,11547,11775,12097,11198,8749,8085,7839,7601,7401,6780,6419,6264,6049,6244,6407,6643,6910,6970,7108,7399,7663,7598,8217,8329
42,KONYA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,20614,20952,21612,21011,20961,20681,20187,19649,19477,19175,18610,18099,17808,18968,19489,19871,20403,20287,20277,20812,21469,21293,21813,21744
43,KÜTAHYA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,9102,9145,9172,9238,8860,8362,8171,7907,8004,7872,7673,7550,7539,8011,8234,8574,8691,8627,8695,8770,8946,8735,8406,8149
44,MALATYA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,9663,9663,9811,9940,10032,9889,9941,9955,9952,9928,9621,9519,9496,9963,10295,10695,11092,11192,11394,11721,11999,11849,11107,11194
45,MANİSA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,23005,23346,23893,24113,24280,23753,23598,23051,23000,22747,22602,22004,21557,22638,23069,23235,23845,24023,24598,26181,27196,27493,27600,27460
46,KAHRAMANMARAŞ,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,14605,14915,15276,15825,15478,14946,14812,14544,14444,14262,13864,13995,13750,14228,14301,14458,14724,14887,15012,15407,15903,15963,15133,15192
47,MARDİN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,7887,7525,7293,7244,7143,7201,7429,7632,7639,7606,7638,7697,7796,8365,8534,8540,8520,8385,8042,8065,8471,7766,7444,7155
48,MUĞLA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,17256,17167,17230,17376,17072,16458,16159,15531,15109,15029,14875,14651,14298,15231,15453,15228,14725,14430,14591,14830,15286,14980,14304,13717
49,MUŞ,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2901,2824,2952,3096,3286,3307,3321,3338,3416,3413,3421,3518,3579,3624,3681,3665,3708,3773,3733,4038,4264,4221,4220,3943
50,NEVŞEHİR,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,4631,4741,4989,5202,5137,4991,4864,4680,4628,4560,4334,4236,4200,4315,4448,4598,4756,4860,5009,5251,5641,5863,5978,5862
51,NİĞDE,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,4239,4371,4824,5127,5241,5319,5299,5214,5204,5175,4984,4854,4777,4875,4951,5009,5010,4957,4999,5243,5520,5673,5727,5574
52,ORDU,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,12663,12512,12515,12559,12557,12556,12460,12199,12107,12076,12127,12091,11920,12745,12921,13377,13575,13435,13488,13680,14149,14295,14358,14231
53,RİZE,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,6489,6488,6579,6533,6261,6093,5919,5749,5598,5593,5437,5344,5131,5229,5274,5356,5446,5394,5340,5139,5213,5154,5153,5117
54,SAKARYA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,15755,15730,16159,16189,15894,15145,14532,14059,13843,13628,13387,13356,13267,14059,14150,14012,14519,14612,14873,15475,16010,15932,15942,15775
55,SAMSUN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,16958,17039,17698,16801,16664,16162,16022,15511,15592,15641,15499,15493,15448,16162,16468,16803,17087,17166,17245,17702,18205,18232,18299,18051
56,SİİRT,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2555,2575,2602,2568,2550,2483,2583,2660,2948,2844,2825,2766,2667,2750,2743,2816,2946,3030,3104,3162,3254,3316,3320,3280
57,SİNOP,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,3472,3524,3495,3428,3342,3290,3252,3231,3279,3260,3245,3182,3142,3260,3263,3378,3401,3425,3512,3597,3695,3665,3116,3076
58,SİVAS,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,7681,7784,7958,8074,7908,7678,7575,7147,7147,6911,6682,6464,6239,6651,6734,6908,7013,6979,7014,7099,7254,7156,7008,6745
59,TEKİRDAĞ,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,11252,11404,11736,11752,11803,11471,11149,10759,10763,10605,10664,10814,10704,11588,12289,12943,13506,13785,14250,15148,15867,16002,15409,14783
60,TOKAT,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,9342,9318,9494,9509,9122,8910,8839,8465,8612,8500,8318,8070,7815,8253,8295,8473,8605,8600,8709,9039,9422,9553,9299,9076
61,TRABZON,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,13098,13053,13195,13206,13093,12814,12623,12219,11920,11655,11753,11859,11745,12255,12630,12974,13481,13595,13783,13852,14104,14160,14292,14147
62,TUNCELİ,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,1142,1207,1285,1319,1327,1315,1318,1275,1323,1307,1285,1232,1252,1355,1407,1429,1463,1464,1474,1472,1474,1480,1442,1347
63,ŞANLIURFA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,16570,17514,18686,18953,18695,18568,18559,18805,18866,18893,19072,18666,18642,18933,19084,19172,18882,18367,18576,18851,19835,20114,20139,19609
64,UŞAK,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,5066,5284,5494,5818,5827,5860,5903,5924,6114,6157,6025,5972,5884,6420,6560,6816,7079,7229,7358,7802,8223,8279,8097,8065
65,VAN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,9313,10001,11256,11040,11525,12420,12934,13464,13527,13554,12808,12436,12143,12136,11867,11934,11830,11858,11730,12147,12438,12091,11917,11268
66,YOZGAT,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,6289,6450,6664,6898,6899,6912,6908,6776,6603,6360,6015,5796,5574,5877,5921,6114,6262,6216,6338,6481,6842,7197,7334,6922
67,ZONGULDAK,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,10738,10912,10894,10747,10477,10057,9756,8949,8732,8589,8340,8079,7708,8214,8250,8387,8650,8636,8704,8722,8855,8826,8811,8538
68,AKSARAY,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,5008,4936,4955,5146,5225,5116,4847,4668,4828,4819,4702,4693,4582,4585,4682,4717,4974,4989,5036,5281,5539,5915,5904,5550
69,BAYBURT,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,1126,1126,1158,1130,1114,1147,1154,1142,1143,1130,1133,1134,1076,1103,1122,1160,1195,1189,1190,1239,1277,1270,1279,1208
70,KARAMAN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,3910,3895,3908,4094,3988,3906,3692,3633,3578,3598,3500,3437,3407,3588,3689,3643,3750,3699,3666,3862,3969,3886,3891,3878
71,KIRIKKALE,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,3097,3242,3344,3317,3317,3155,3114,3086,3058,3038,2954,2851,2831,3205,3311,3366,3478,3463,3562,3689,3821,3856,3834,3858
72,BATMAN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,4537,4547,4832,4854,4589,4389,4450,4391,4470,4444,4130,4278,4211,4176,4220,4128,4321,4325,4343,4490,4687,4335,4237,4371
73,ŞIRNAK,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,3026,2777,2704,2507,2445,2320,2275,2272,2189,2107,2022,2014,2036,2105,2082,2305,2562,2859,2853,3161,3410,3445,3631,3587
74,BARTIN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,4115,4038,4091,3791,3036,2848,2793,2728,2756,2691,2572,2527,2470,2706,2791,2877,3026,2984,3052,3063,3122,3061,3036,2984
75,ARDAHAN,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,1646,1571,1652,1672,1663,1650,1575,1474,1452,1496,1565,1484,1451,1525,1521,1494,1494,1472,1510,1549,1592,1559,1565,1526
76,IĞDIR,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2558,2515,2688,2651,2654,2525,2495,2345,2348,2475,2486,2501,2478,2670,2645,2647,2730,2801,2915,3131,3069,2829,2694,2264
77,YALOVA,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2806,2947,3024,2982,2856,2885,2940,2981,3007,2995,2976,2952,2984,3267,3351,3485,3567,3549,3574,3576,3600,3429,3243,3110
78,KARABÜK,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2811,2838,2840,2842,2753,2623,2632,2569,2578,2547,2502,2451,2432,2750,2821,2917,3015,3042,3127,3203,3285,3251,3176,3143
79,KİLİS,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,2608,2584,2603,2678,2674,2660,2632,2586,2630,2655,2655,2662,2630,2721,2756,2571,2572,2536,2855,2972,2981,2824,2803,2858
80,OSMANİYE,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,6758,7022,7316,7527,7464,7323,7226,6931,7044,7000,6815,6681,6503,6587,6674,6843,7073,7154,7416,7656,8102,8122,8005,8050
81,DÜZCE,BASİTUSULDEVERGİLENDİRİLENGELİRVERGİSİ,7012,7079,7213,7248,6431,6008,5765,5512,5341,5314,5113,5093,4954,5240,5343,5473,5638,5640,5625,5891,6278,6359,6105,5988
1,ADANA,GELİRSTOPAJVERGİSİ,45776,46965,48373,51357,53050,53935,54075,54971,54935,56047,57003,57583,58694,58493,59330,60259,62278,64224,66851,74887,80656,87313,93416,98893
2,ADIYAMAN,GELİRSTOPAJVERGİSİ,2650,2952,3570,5316,6201,6658,6953,7833,7903,8136,8331,8450,8639,8578,8690,8937,9293,9902,10269,12770,14223,15454,15924,18493
3,AFYON,GELİRSTOPAJVERGİSİ,10600,10797,11193,12112,12707,13815,14321,15779,15874,15920,15917,16161,16453,16404,16764,17109,17786,18599,19160,22099,24205,26117,28183,30114
4,AĞRI,GELİRSTOPAJVERGİSİ,2245,2366,2598,2881,3532,4094,4257,4320,4739,4994,5173,5278,5329,5332,5552,5675,5991,6303,6605,7117,7530,7881,8219,8720
5,AMASYA,GELİRSTOPAJVERGİSİ,6172,6358,6523,6945,7211,7607,7828,7977,8029,8098,8177,8328,8533,8285,8345,8377,8579,9501,9865,10492,11080,11770,12465,13098
6,ANKARA,GELİRSTOPAJVERGİSİ,156484,160279,163075,169390,169832,176519,182167,183845,185074,188963,192610,196630,201521,203838,210566,216139,224544,230421,236842,258342,278147,294088,312523,326593
7,ANTALYA,GELİRSTOPAJVERGİSİ,69985,72564,75713,82323,88848,91254,95119,97557,96897,97255,98482,99340,101618,103200,106784,107543,110499,114921,120736,135324,149017,165100,178403,186931
8,ARTVİN,GELİRSTOPAJVERGİSİ,3104,3102,3350,3531,3670,3968,4366,5059,5144,5092,5048,5085,5071,4937,5002,5098,5341,5602,5749,6372,6785,7282,7660,7889
9,AYDIN,GELİRSTOPAJVERGİSİ,27268,27482,27851,29001,29775,30951,31727,32179,32179,31676,31632,31801,32127,31250,31977,32489,33817,34780,35687,42826,46630,50358,53498,56446
10,BALIKESİR,GELİRSTOPAJVERGİSİ,32698,32963,33345,34748,34501,34605,34755,34479,33743,33799,34106,34078,34120,33316,33755,34324,35611,37003,37485,43850,47413,50454,53744,56745
11,BİLECİK,GELİRSTOPAJVERGİSİ,4056,4124,4304,4694,5170,5299,5423,5643,5555,5502,5413,5456,5554,5477,5484,5489,5680,5840,5974,6604,6896,7258,7617,8026
12,BİNGÖL,GELİRSTOPAJVERGİSİ,1786,1791,1906,2166,2167,2182,2374,2543,2825,2970,3286,3481,3651,3779,4049,4290,4620,4889,4951,5460,5913,6007,6267,6610
13,BİTLİS,GELİRSTOPAJVERGİSİ,1400,1426,1526,1974,2283,2612,2764,3256,3605,3786,4063,4223,4368,4377,4450,4585,4743,4908,5018,5563,6024,6560,7100,7852
14,BOLU,GELİRSTOPAJVERGİSİ,6079,6283,6497,7048,7385,7633,7764,8612,8591,8588,8646,8946,9115,8976,9108,9089,9378,9610,9854,10624,11125,11704,12359,12980
15,BURDUR,GELİRSTOPAJVERGİSİ,6604,6740,7024,7425,7932,8284,8714,8946,8967,9017,8991,9196,9254,9069,9160,9267,9588,9932,10195,11253,12000,12719,13530,14110
16,BURSA,GELİRSTOPAJVERGİSİ,83376,84530,86219,89247,88843,91448,94010,94950,93682,95142,95561,97981,100108,101181,104523,108046,112993,118006,122289,135497,145446,154939,162339,169109
17,ÇANAKKALE,GELİRSTOPAJVERGİSİ,12082,12498,13016,13932,13963,14622,15181,15724,15961,16207,16438,16657,16739,16463,16729,17269,18194,19043,19634,22583,24563,26561,28464,30441
18,ÇANKIRI,GELİRSTOPAJVERGİSİ,2594,2627,2713,2903,3008,3072,3165,3259,3442,3488,3557,3551,3598,3500,3607,3700,3765,4528,4782,5163,5511,5899,6388,6965
19,ÇORUM,GELİRSTOPAJVERGİSİ,11873,11812,12028,12184,12263,12790,12515,13846,13365,13542,13489,13350,13131,12511,12704,12835,13310,13912,14228,16001,17047,17664,18502,19602
20,DENİZLİ,GELİRSTOPAJVERGİSİ,23785,24048,24915,26123,26177,27684,28935,29288,29127,29292,29746,29990,31013,30454,30639,31043,32358,33354,34343,40153,44310,48121,51983,55252
21,DİYARBAKIR,GELİRSTOPAJVERGİSİ,13019,13217,13173,14168,13669,14222,15663,17248,17897,19041,19849,20493,21265,21469,22241,21525,22195,23695,24820,29045,32128,35584,38937,42049
22,EDİRNE,GELİRSTOPAJVERGİSİ,11626,11595,11717,12109,11976,12127,12324,12314,12320,12318,12532,12604,12608,11640,11560,11763,12278,12648,13011,14831,15726,16759,18222,19320
23,ELAZIĞ,GELİRSTOPAJVERGİSİ,7638,7816,8239,8731,9784,10311,10712,11488,11527,11776,11986,12128,12235,11855,12101,12339,12722,13181,13433,15120,16389,17648,18885,20407
24,ERZİNCAN,GELİRSTOPAJVERGİSİ,3091,3249,3357,3584,4063,4163,4368,4553,4648,4712,4833,4992,5067,4946,5038,5168,5301,5481,5519,6254,6617,7003,7335,7822
25,ERZURUM,GELİRSTOPAJVERGİSİ,6281,6544,7044,8905,10451,10648,10929,11683,12658,13057,13231,13254,13320,12996,13087,13187,13553,13870,13991,15667,16510,17405,18296,19573
26,ESKİŞEHİR,GELİRSTOPAJVERGİSİ,22185,22057,22461,23401,23668,24420,24660,24777,24592,24768,25081,25533,26571,26761,27791,28645,29479,30408,31172,34826,36711,38648,40279,42234
27,GAZİANTEP,GELİRSTOPAJVERGİSİ,28574,29604,31756,36202,39066,41433,42949,44930,44352,45377,46674,46992,49668,51715,53225,53762,55946,57512,60083,66715,71648,77376,82111,87169
28,GİRESUN,GELİRSTOPAJVERGİSİ,5708,5721,5887,6136,6639,7179,7462,8490,8736,9010,8984,9101,8969,8609,8698,8886,9257,9853,10247,12309,13485,14583,15557,16518
29,GÜMÜŞHANE,GELİRSTOPAJVERGİSİ,1181,1203,1301,1410,1643,1715,1750,2227,2291,2300,2310,2313,2376,2454,2458,2496,2566,2659,2752,3150,3417,3590,3744,3906
30,HAKKARİ,GELİRSTOPAJVERGİSİ,1066,1118,1165,1337,1540,1709,1818,1961,2148,2256,2282,2417,2409,2484,2638,2777,3044,3251,3310,3607,3905,4373,4567,4671
31,HATAY,GELİRSTOPAJVERGİSİ,27127,27082,27742,28929,29540,30687,30879,30829,30211,30248,31234,32091,33214,33164,34007,34143,34850,37308,38887,43026,46750,50251,51760,56278
32,ISPARTA,GELİRSTOPAJVERGİSİ,7211,7564,8054,8935,9553,10001,10492,10807,11026,11252,11392,11563,11732,11577,11935,12108,12494,12889,13249,15031,16229,17295,18552,19725
33,İÇEL,GELİRSTOPAJVERGİSİ,43132,44517,45082,47986,49455,49206,49752,50273,50091,50037,50783,50971,52030,51735,52958,53966,56510,59158,61336,69775,74508,80513,86080,90437
34,İSTANBUL,GELİRSTOPAJVERGİSİ,633459,633465,645711,668714,604938,631945,659013,660298,655971,668325,682957,702332,707783,726003,744080,760986,791249,814482,842745,936674,1017647,1069003,1108895,1136043
35,İZMİR,GELİRSTOPAJVERGİSİ,145786,148911,154007,162297,162003,165031,167294,167549,164893,165871,164934,167107,168225,167015,169570,173181,179318,185178,190511,212427,228525,243081,256394,266130
36,KARS,GELİRSTOPAJVERGİSİ,2979,3067,3144,3594,3879,3916,4150,4154,4500,4377,4347,4389,4418,4213,4323,4368,4492,4584,4603,5005,5295,5593,5866,6342
37,KASTAMONU,GELİRSTOPAJVERGİSİ,7627,7520,7763,8053,8290,9028,9666,10133,10021,10123,10151,10164,10284,9861,9950,10038,10252,10592,10866,12231,12955,13937,14696,15251
38,KAYSERİ,GELİRSTOPAJVERGİSİ,25366,26018,27364,28692,29620,31591,33292,34307,34514,35232,35726,36479,37370,38327,39955,41483,43403,44889,46750,54142,58935,63514,66420,68711
39,KIRKLARELİ,GELİRSTOPAJVERGİSİ,9358,9384,9641,10031,10456,10720,10816,10897,10796,10750,10905,11003,11085,10637,10679,10717,10905,11288,11422,12964,13803,14608,15599,16382
40,KIRŞEHİR,GELİRSTOPAJVERGİSİ,3621,3841,3979,4611,4841,4865,4904,4992,4255,4165,3883,3752,3015,3231,3952,4384,5418,5761,5951,6301,6715,7175,7697,8461
41,KOCAELİ,GELİRSTOPAJVERGİSİ,42833,43846,44919,47208,50615,52175,53412,54547,54847,55611,56525,58289,59775,60914,61304,61379,64556,66659,68237,75845,82606,88277,92983,98352
42,KONYA,GELİRSTOPAJVERGİSİ,46946,48035,50965,54109,55946,59308,61640,62270,62175,62556,62929,64102,65622,66551,68628,69745,72468,75083,77816,87572,94232,100971,107420,114151
43,KÜTAHYA,GELİRSTOPAJVERGİSİ,9680,9888,10134,11191,11632,12480,12879,13159,13167,13223,13285,13388,13472,12926,12872,12971,13371,13819,13975,15853,16762,17834,19122,20331
44,MALATYA,GELİRSTOPAJVERGİSİ,14111,14116,14187,15037,15003,14907,14897,15465,15410,15669,15717,15719,15847,15563,15541,15697,16442,17109,17389,20055,21798,23105,23533,25537
45,MANİSA,GELİRSTOPAJVERGİSİ,30180,30305,31061,32078,32604,33917,34578,34663,34444,34131,34596,35272,35811,35165,35460,35876,37672,38945,40010,45635,49021,52360,55816,58739
46,KAHRAMANMARAŞ,GELİRSTOPAJVERGİSİ,10289,10607,11290,12322,14469,15711,16564,17304,17345,17319,17646,17861,18338,18362,19189,20156,21178,22274,23020,26088,28467,31121,33119,36644
47,MARDİN,GELİRSTOPAJVERGİSİ,2356,2675,4439,4442,6715,8196,8954,10094,10658,10500,10363,10640,10956,11218,11360,11407,12227,13350,13948,15916,17878,20661,22287,23676
48,MUĞLA,GELİRSTOPAJVERGİSİ,29573,30786,31973,36185,38126,39149,40681,41732,42045,42407,42425,42914,43328,42586,43561,44060,46264,48720,51023,57336,62405,67828,73107,78126
49,MUŞ,GELİRSTOPAJVERGİSİ,937,853,954,1209,1800,2586,2828,3006,3813,4049,4053,4281,4146,4675,4907,4938,5011,5223,5243,5686,6195,6603,6875,7407
50,NEVŞEHİR,GELİRSTOPAJVERGİSİ,6839,7094,7289,7676,7888,8181,8525,8974,8924,8901,9054,9220,9348,9530,9884,10078,10323,10729,11286,12538,13708,15042,16340,17589
51,NİĞDE,GELİRSTOPAJVERGİSİ,4374,4465,4590,5200,6288,6663,6924,7025,6826,6934,6953,7067,7287,7339,7515,7822,8320,8818,9312,11403,13026,14226,15659,16655
52,ORDU,GELİRSTOPAJVERGİSİ,9557,9555,9597,10027,11483,12433,12988,13946,14217,14317,14403,14476,14574,13965,14008,14219,14827,15636,15972,18907,20977,22601,24341,25822
53,RİZE,GELİRSTOPAJVERGİSİ,4972,5010,5172,5911,6960,7453,7981,8273,7233,7520,8225,8563,8664,8523,8597,8740,8932,9185,9466,10731,11355,11916,12711,13431
54,SAKARYA,GELİRSTOPAJVERGİSİ,20581,20746,21344,22691,23251,23822,24214,24584,24322,24209,24189,24988,25863,25798,26499,26461,27520,28725,29419,34145,37690,41197,45088,48142
55,SAMSUN,GELİRSTOPAJVERGİSİ,24899,25386,26783,28411,28713,29190,29673,29801,29701,30117,30524,30985,31594,31393,32150,32967,34108,35415,36022,40278,44491,48014,50994,54141
56,SİİRT,GELİRSTOPAJVERGİSİ,1262,1358,1393,1652,2098,2109,2218,2297,2461,2495,2559,2752,2879,2909,2981,3097,3338,3539,3682,4124,4596,4816,5077,5385
57,SİNOP,GELİRSTOPAJVERGİSİ,3490,3518,3920,4101,4218,4285,4307,4752,4776,4791,4853,4883,4925,4852,4956,5043,5246,5458,5643,6339,6809,7315,8050,8428
58,SİVAS,GELİRSTOPAJVERGİSİ,7273,7561,7877,8811,9320,9743,10578,11811,12241,12329,12359,12477,12641,12472,12778,13089,13652,14172,14463,16126,17312,18394,19578,20651
59,TEKİRDAĞ,GELİRSTOPAJVERGİSİ,21553,22005,22756,24102,24350,25680,26497,26769,27242,27155,27880,28974,29950,29975,30896,31838,33202,34601,35285,39776,43123,46948,50565,53663
60,TOKAT,GELİRSTOPAJVERGİSİ,7833,7916,8231,9409,9950,10878,11311,11428,11202,11196,11386,11442,11558,11070,11113,11316,11768,12137,12462,14666,15947,17040,18217,19210
61,TRABZON,GELİRSTOPAJVERGİSİ,14893,14799,15237,15733,15774,16864,17381,18226,18537,18810,19016,19240,19393,19142,19378,19800,20481,21289,21846,25877,28099,30212,32393,34145
62,TUNCELİ,GELİRSTOPAJVERGİSİ,1005,1004,1025,1112,1053,1089,1206,1278,1322,1340,1406,1481,1505,1418,1431,1421,1490,1557,1595,1937,2160,2290,2416,2638
63,ŞANLIURFA,GELİRSTOPAJVERGİSİ,12629,13923,15266,16572,17645,19756,20830,23217,24778,26285,27856,29485,31114,32475,33634,33939,34810,35831,37130,40438,44765,51008,56058,60095
64,UŞAK,GELİRSTOPAJVERGİSİ,8166,8373,8653,9058,9545,9628,9620,9589,9485,9466,9365,9168,9068,9140,9213,9461,9830,10295,10497,12944,14119,15370,16410,17273
65,VAN,GELİRSTOPAJVERGİSİ,7816,8125,8638,8753,9849,10960,11415,12560,13272,13295,13171,13869,14534,14976,15218,15836,16456,17123,17427,19834,21492,22734,24233,26277
66,YOZGAT,GELİRSTOPAJVERGİSİ,6511,6530,6672,7031,7286,8099,9035,9248,9208,9372,9418,9558,9619,9161,9233,9196,9576,9972,10337,11557,12392,13426,14566,15530
67,ZONGULDAK,GELİRSTOPAJVERGİSİ,12955,13144,13449,14050,14495,15077,15028,15193,14734,14563,14393,14274,14183,13276,12876,12903,13123,13329,13607,15450,16782,17732,18492,19337
68,AKSARAY,GELİRSTOPAJVERGİSİ,6613,6678,6758,7285,8008,8439,8609,8735,8835,9046,9174,9206,9556,9889,10363,10385,10988,11507,12025,13875,15422,16953,18328,19670
69,BAYBURT,GELİRSTOPAJVERGİSİ,481,526,565,704,1254,1304,1316,1349,1230,1209,1343,1397,1408,1337,1311,1333,1404,1456,1542,1788,2018,2132,2230,2327
70,KARAMAN,GELİRSTOPAJVERGİSİ,3937,3979,4209,4587,4929,5022,5189,5287,5288,5372,5630,5803,5843,5986,6053,6133,6503,6931,6996,8054,9000,9538,10147,10797
71,KIRIKKALE,GELİRSTOPAJVERGİSİ,6187,6327,6439,6550,6457,6384,6365,6440,6412,6390,6303,6270,6279,6062,6069,6124,6310,6473,6563,7414,8041,8589,9180,9543
72,BATMAN,GELİRSTOPAJVERGİSİ,4138,4276,4440,4617,5174,5327,5579,5960,6252,6719,6726,7115,7134,7449,8064,8300,8750,9019,9288,10887,12008,13117,13933,15043
73,ŞIRNAK,GELİRSTOPAJVERGİSİ,7487,7496,7720,7920,8606,9071,8577,8649,8556,8476,7692,7328,6685,6559,6580,6454,6463,7002,6846,7294,7979,8883,9536,9921
74,BARTIN,GELİRSTOPAJVERGİSİ,2651,2749,2908,3367,4045,4052,4197,4539,4543,4556,4540,4545,4561,4365,4344,4333,4447,5562,5836,6270,6697,7044,7388,7751
75,ARDAHAN,GELİRSTOPAJVERGİSİ,1227,1173,1267,1296,1323,1346,1334,1596,1578,1596,1639,1658,1627,1550,1562,1576,1619,1676,1678,1884,1995,2035,2087,2103
76,IĞDIR,GELİRSTOPAJVERGİSİ,4869,4960,4751,4254,4184,4068,3916,4182,4046,4118,4021,3988,3987,3765,3571,3465,3463,3549,3616,4007,4235,4453,4685,5222
77,YALOVA,GELİRSTOPAJVERGİSİ,7630,7897,7829,7950,7446,7521,7736,7990,7984,8151,8146,8213,8362,8434,8710,8923,9462,9793,10181,11516,12459,13464,14448,15375
78,KARABÜK,GELİRSTOPAJVERGİSİ,6714,6757,6680,6984,6772,6826,6886,6914,6859,6784,6761,6814,6882,6638,6658,6656,6887,7024,7057,7928,8413,8968,9454,9841
79,KİLİS,GELİRSTOPAJVERGİSİ,1905,1891,1859,1884,1962,2032,1991,1953,2031,2050,1972,1985,2260,2454,2626,2710,2864,3140,3313,3545,3805,3962,4083,4507
80,OSMANİYE,GELİRSTOPAJVERGİSİ,6405,6814,6947,7880,7807,8064,8553,8640,8774,8939,9290,9674,9977,10086,10380,10585,10871,11257,11683,13256,14535,15976,17163,18882
81,DÜZCE,GELİRSTOPAJVERGİSİ,7903,8123,8438,9429,8968,8946,9005,9073,9026,8907,8780,8983,8947,9061,9267,9423,9640,10132,10475,12008,12920,14151,15465,16511
