il kodu,il,Vergi-Turu,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
7,ANTALYA,KURUMLARVERGİSİ,19644,20710,21946,23790,25261,25487,27034,27959,27351,26638,27069,25793,26055,25418,26103,26862,27971,30086,32096,35099,38539,44117,48863,51076
8,ARTVİN,KURUMLARVERGİSİ,700,726,731,764,746,795,869,900,909,925,934,914,912,910,924,928,980,1054,1082,1159,1222,1306,1393,1430
9,AYDIN,KURUMLARVERGİSİ,4995,5097,5271,5474,5484,5901,6469,6778,6894,6843,6860,6759,6662,6631,6944,6968,7297,7557,7835,8373,8955,9755,10345,10800
10,BALIKESİR,KURUMLARVERGİSİ,4744,4790,4897,5436,4903,5003,5203,5292,5200,5313,5490,5356,5250,5171,5441,5578,5950,6377,6659,7288,7807,8525,9321,9873
11,BİLECİK,KURUMLARVERGİSİ,637,669,690,762,789,841,914,964,979,981,985,975,974,953,981,996,1022,1073,1120,1208,1280,1348,1391,1468
12,BİNGÖL,KURUMLARVERGİSİ,697,727,759,832,814,873,949,957,976,1034,1097,1148,1161,1208,1291,1364,1460,1525,1548,1642,1735,1812,1928,2057
13,BİTLİS,KURUMLARVERGİSİ,476,501,521,576,606,660,695,757,830,902,975,1023,1073,1057,1077,1092,1163,1236,1316,1429,1510,1676,1821,1971
14,BOLU,KURUMLARVERGİSİ,1614,1642,1686,1714,1511,1555,1648,1663,1718,1816,1843,1860,1864,1854,1886,1876,1948,1997,2136,2265,2350,2488,2613,2721
15,BURDUR,KURUMLARVERGİSİ,1017,1054,1108,1186,1267,1316,1418,1434,1476,1556,1577,1603,1642,1702,1719,1720,1798,1887,1979,2090,2183,2322,2396,2469
16,BURSA,KURUMLARVERGİSİ,18637,19189,19969,20624,19178,20086,21426,22090,22176,22971,23166,23509,23760,24022,25330,26942,28680,30990,32730,35245,38006,41337,44441,46234
17,ÇANAKKALE,KURUMLARVERGİSİ,2281,2351,2452,2549,2271,2329,2527,2672,2834,2937,3143,3093,3029,2975,3015,3133,3375,3637,3819,4112,4389,4727,5060,5351
18,ÇANKIRI,KURUMLARVERGİSİ,458,467,480,514,501,529,561,579,592,625,662,635,637,646,697,725,755,804,811,838,854,902,946,1016
19,ÇORUM,KURUMLARVERGİSİ,1758,1784,1855,1944,1788,1872,1998,2103,2104,2157,2203,2126,2137,2190,2311,2346,2495,2633,2770,3044,3229,3440,3706,3897
20,DENİZLİ,KURUMLARVERGİSİ,5720,5877,6052,6335,5565,5921,6368,6516,6627,6681,6835,6607,6599,6605,6808,7064,7516,7884,8269,8922,9520,10446,11196,11739
21,DİYARBAKIR,KURUMLARVERGİSİ,3871,4006,4109,4401,4259,4474,4761,5135,5485,6011,6386,6600,6894,7120,7525,7106,7304,7904,8250,9359,10560,11892,13190,14210
22,EDİRNE,KURUMLARVERGİSİ,2009,2039,2067,2186,2013,2043,2097,2153,2237,2256,2297,2299,2260,2175,2194,2270,2425,2511,2630,2823,2988,3238,3407,3608
23,ELAZIĞ,KURUMLARVERGİSİ,1671,1790,1880,1990,2059,2117,2323,2423,2565,2702,2817,2832,2930,2998,3081,3163,3242,3344,3428,3669,3865,4103,4354,4610
24,ERZİNCAN,KURUMLARVERGİSİ,444,467,508,569,619,648,725,747,765,820,865,882,891,904,950,992,1055,1115,1130,1238,1298,1364,1442,1496
25,ERZURUM,KURUMLARVERGİSİ,1811,1926,2070,2342,2456,2527,2685,2717,2767,2830,2900,2856,2784,2711,2788,2785,2903,3035,3087,3335,3410,3632,3845,4080
26,ESKİŞEHİR,KURUMLARVERGİSİ,4183,4488,4564,4710,4506,4613,4831,4962,5004,5143,5407,5429,5560,5637,6066,6328,6455,6760,7003,7463,7706,8114,8601,9033
27,GAZİANTEP,KURUMLARVERGİSİ,6958,7254,7604,8089,7909,8313,8737,9066,8381,8842,9209,9258,9685,10674,11704,12257,13336,14670,15854,17909,20124,22613,25005,26166
28,GİRESUN,KURUMLARVERGİSİ,1375,1404,1446,1547,1587,1616,1701,1731,1757,1841,1875,1847,1856,1822,1831,1823,1907,2033,2092,2245,2350,2460,2572,2628
29,GÜMÜŞHANE,KURUMLARVERGİSİ,219,231,243,279,334,350,407,424,444,473,474,465,464,487,484,510,530,562,598,628,659,649,650,643
30,HAKKARİ,KURUMLARVERGİSİ,406,429,455,485,518,553,600,605,652,698,704,750,736,760,792,803,871,936,959,1041,1108,1186,1274,1325
31,HATAY,KURUMLARVERGİSİ,5830,5969,6138,6365,5999,6164,6466,6786,6915,7094,7466,7660,7800,8079,8511,8708,8966,9932,10423,11027,11715,12803,13764,14766
32,ISPARTA,KURUMLARVERGİSİ,1723,1748,1825,1920,1902,1919,2052,2130,2188,2323,2384,2399,2452,2514,2645,2686,2830,2927,3048,3232,3440,3687,3884,4057
33,İÇEL,KURUMLARVERGİSİ,11418,11596,11662,11909,11433,11051,11143,11258,11196,11153,11466,11365,11599,11825,12534,13050,14170,15420,16502,18239,19251,21456,23547,24592
34,İSTANBUL,KURUMLARVERGİSİ,223968,233739,243032,253587,229040,234558,242930,239685,237823,241399,246562,245381,242448,250311,259186,269229,283936,302285,320576,347889,374576,402541,424707,435551
35,İZMİR,KURUMLARVERGİSİ,47903,49399,50579,52412,47135,47628,48899,49110,47789,47516,46022,45100,44531,43552,44190,45467,47493,50449,53110,57354,61061,65748,70092,73069
36,KARS,KURUMLARVERGİSİ,563,575,596,656,725,729,782,818,848,833,810,809,760,706,724,738,783,818,838,870,886,931,951,995
37,KASTAMONU,KURUMLARVERGİSİ,788,835,880,940,979,1023,1132,1191,1209,1291,1314,1342,1376,1386,1446,1463,1534,1654,1719,1859,1948,2071,2180,2260
38,KAYSERİ,KURUMLARVERGİSİ,5948,6165,6327,6643,6461,6784,7280,7439,7554,7897,8116,8215,8463,8963,9545,9987,10557,11248,11867,12898,13959,15194,16319,17194
39,KIRKLARELİ,KURUMLARVERGİSİ,1278,1249,1308,1375,1437,1526,1523,1561,1591,1665,1748,1741,1749,1795,1871,1852,1968,2085,2182,2352,2500,2711,2909,3070
40,KIRŞEHİR,KURUMLARVERGİSİ,776,807,844,908,929,938,967,962,915,933,951,947,907,908,951,970,1003,1042,1060,1130,1185,1274,1351,1411
41,KOCAELİ,KURUMLARVERGİSİ,9462,9876,10309,10856,11080,11983,12802,13391,13793,14084,14624,15043,15405,15791,15970,15621,16639,17442,18253,19686,21318,23217,25192,26920
42,KONYA,KURUMLARVERGİSİ,12370,12678,13132,13432,12752,13207,13893,14145,14169,14310,14371,14264,14375,14728,15282,15303,16122,17084,18003,19664,21275,23633,26068,27996
43,KÜTAHYA,KURUMLARVERGİSİ,2079,2132,2175,2187,2097,2150,2221,2243,2299,2346,2392,2390,2436,2345,2304,2300,2350,2476,2499,2592,2737,2930,3087,3208
44,MALATYA,KURUMLARVERGİSİ,2233,2341,2440,2621,2611,2717,2843,2941,3038,3251,3356,3346,3348,3306,3435,3540,3745,4016,4172,4471,4807,5056,5630,6152
45,MANİSA,KURUMLARVERGİSİ,4386,4448,4583,4741,4512,4829,5057,5262,5323,5326,5472,5489,5521,5591,5829,5974,6342,6709,7101,7663,8255,8920,9595,10213
46,KAHRAMANMARAŞ,KURUMLARVERGİSİ,1937,2025,2178,2338,2533,2806,3075,3246,3259,3351,3529,3554,3588,3716,4121,4400,4625,4899,5132,5609,6112,6808,7541,8198
47,MARDİN,KURUMLARVERGİSİ,1755,1802,1844,1932,1923,2060,2183,2348,2581,2825,3091,3389,3643,3848,3866,3909,4178,4542,4763,5401,6046,7057,7737,7869
48,MUĞLA,KURUMLARVERGİSİ,7502,7810,8116,8722,9200,9460,10005,10516,10681,10774,10714,10463,10256,9737,10002,9919,10286,11037,11719,12645,13765,15209,16542,17567
49,MUŞ,KURUMLARVERGİSİ,554,579,614,660,756,780,835,820,871,980,1011,1035,1109,1166,1220,1186,1211,1273,1278,1330,1407,1520,1618,1839
50,NEVŞEHİR,KURUMLARVERGİSİ,1292,1326,1388,1485,1544,1599,1678,1761,1778,1843,1920,1975,2037,2155,2331,2395,2483,2656,2911,3057,3283,3684,3944,4309
51,NİĞDE,KURUMLARVERGİSİ,789,830,839,883,915,987,1023,1087,1122,1187,1246,1252,1246,1248,1295,1352,1401,1491,1580,1712,1836,2003,2175,2294
52,ORDU,KURUMLARVERGİSİ,1969,1999,2041,2147,2067,2133,2331,2474,2568,2615,2656,2616,2553,2554,2603,2636,2737,2850,2931,3105,3274,3498,3763,3977
53,RİZE,KURUMLARVERGİSİ,1343,1369,1378,1407,1354,1466,1588,1652,1702,1757,1833,1860,1847,1836,1825,1822,1872,1949,2033,2066,2163,2325,2494,2605
54,SAKARYA,KURUMLARVERGİSİ,4325,4477,4617,4790,4944,5194,5344,5523,5554,5373,5330,5435,5553,5706,5965,5905,6223,6751,7072,7570,8152,9104,9941,10605
55,SAMSUN,KURUMLARVERGİSİ,4787,4868,4945,5032,4762,4830,5140,5190,5203,5335,5482,5447,5456,5519,5820,6060,6331,6692,6980,7452,7965,8642,9203,9706
56,SİİRT,KURUMLARVERGİSİ,357,374,401,442,374,429,466,497,518,565,599,624,677,723,774,796,887,960,981,1103,1219,1296,1422,1485
57,SİNOP,KURUMLARVERGİSİ,551,571,583,610,609,622,684,706,732,762,786,789,796,782,786,790,808,851,872,926,982,1044,1127,1194
58,SİVAS,KURUMLARVERGİSİ,1520,1599,1689,1864,1906,2069,2230,2351,2409,2539,2617,2646,2698,2691,2814,2909,3041,3204,3343,3521,3710,3986,4211,4384
59,TEKİRDAĞ,KURUMLARVERGİSİ,4158,4322,4569,4879,4836,5131,5399,5432,5643,5700,5949,6027,6150,6361,6675,6956,7391,7942,8376,9138,9954,10853,11748,12536
60,TOKAT,KURUMLARVERGİSİ,1549,1558,1616,1773,1744,1785,1891,1918,1898,1945,1958,1966,1952,1935,1991,2041,2129,2208,2235,2395,2585,2837,3003,3118
61,TRABZON,KURUMLARVERGİSİ,3186,3237,3312,3439,3134,3299,3638,3824,3944,4147,4251,4249,4222,4289,4516,4672,4912,5213,5415,5724,6039,6553,7024,7247
62,TUNCELİ,KURUMLARVERGİSİ,128,139,149,166,160,160,189,204,215,234,240,255,254,252,264,262,279,303,316,335,359,386,395,424
63,ŞANLIURFA,KURUMLARVERGİSİ,2430,2546,2688,2906,3146,3471,3684,3939,4332,4811,5271,5697,6138,6629,7086,7308,7396,7816,8120,8942,10152,11765,13040,13760
64,UŞAK,KURUMLARVERGİSİ,1500,1512,1556,1643,1631,1654,1618,1605,1617,1658,1685,1646,1692,1724,1778,1864,1974,2112,2243,2465,2605,2847,3003,3153
